d8edb8 d35ed1 
76d7eb ef3c0d 
4680f7 ef2849 
cd6620 4e299d 
347499 b5f109 
aed1f1 a03715 
cbd363 568db 
c77f01 74a8fc 
21b1eb 14d341 
e809d9 ebce46 
a9f6c3 2e2fda 
6c9437 d944f2 
23de69 434a50 
40d0cb 49a4a2 
294329 b1166a 
fc82f6 d23439 
d08a3e 293dcf 
266f68 f21095 
afba29 65804a 
dae657 767b86 
6f0fef 4f63e0 
a16381 9e526 
c3b78d 3f31b1 
93a6e8 d55b5 
29aadb 8643a7 
c53665 3b8e 
e8308e ad94a6 
8105c3 ec74cd 
ac2a09 4baaa9 
8802c9 387a5 
e102e3 69d990 
3ec095 446225 
472765 22e2 
816766 200f32 
49c212 bd85fe 
22c545 b954f3 
af94cf 89d0b2 
6327ed ed7c45 
df76b2 e9268e 
e016ab dc0263 
5ba418 4a14a0 
fdb062 ae971d 
eaf667 77df89 
21248e 8e797c 
7a85f6 140551 
58a5f0 757c8f 
9e14f2 596616 
d71258 a5dd92 
2f0715 799483 
36b015 4abbb 
6ae144 9f2646 
f54b25 af6c2f 
803a0a 7888f0 
dcdc3a 1498c8 
84705 e1d1a4 
5c42f0 19dde8 
fcc9cc c934fa 
855aae e8737b 
92fbd7 8cea70 
ab0211 edbff4 
756553 ca5f7b 
5cac47 b62103 
6d6857 6f67c2 
5b3c52 b91920 
822ac6 c06458 
720bf1 458954 
b096b3 235c40 
c00ff fc0efd 
e6e59a 8af4a4 
5afff5 950c2f 
704530 3c6987 
40a17a 5ebbc6 
58565b f291df 
7f2a68 9485e1 
e0815a efa043 
5ddc2f c1a6d3 
37f68 9d29b4 
3f872c 24dbee 
4c2a49 72512f 
f1e6d8 a8edfc 
1c6e41 132171 
10ea74 452d03 
8b19cf 5700c 
6bb0f3 df433b 
1fcc31 7769ac 
1d93f4 16e0a5 
3d246e 3a4fbe 
35c99 317967 
e894db 1953c5 
c97cf2 5fdba5 
e024a5 e647d5 
9b5ff5 47f3f4 
bc33f7 ba65d5 
e7f41b ca56dd 
b8520 c401b4 
e45340 8c4a4d 
5435a0 b190a3 
5b2a5d 2fdb06 
45e14c b33214 
11b0e0 d6800f 
0 0 
