536861 6c6c20
492063 6f6d70
617265 207468
656520 746f20
612073 756d6d
657227 732064
61793f 0a5468
6f7520 617274
206d6f 726520
6c6f76 656c79
20616e 64206d
6f7265 207465
6d7065 726174
652e0a 526f75
676820 77696e
647320 646f20
736861 6b6520
746865 206461
726c69 6e6720
627564 73206f
66204d 61792c
0a416e 642073
756d6d 657227
73206c 656173
652068 617468
20616c 6c2074
6f6f20 73686f
727420 612064
617465 2e0a53
6f6d65 74696d
652074 6f6f20
686f74 207468
652065 796520
6f6620 686561
76656e 207368
696e65 732c0a
416e64 206f66
74656e 206973
206869 732067
6f6c64 20636f
6d706c 657869
6f6e20 64696d
6d6564 3b0a41
6e6420 657665
727920 666169
722066 726f6d
206661 697220
736f6d 657469
6d6520 646563
6c696e 65732c
0a4279 206368
616e63 652c20
6f7220 6e6174
757265 277320
636861 6e6769
6e6720 636f75
727365 2c2075
6e7472 696d6d
65643b 0a4275
742074 687920
657465 726e61
6c2073 756d6d
657220 736861
6c6c20 6e6f74
206661 64652c
0a4e6f 72206c
6f7365 20706f
737365 737369
6f6e20 6f6620
746861 742066
616972 207468
6f7520 6f7727
73742c 0a4e6f
722073 68616c
6c2064 656174
682062 726167
207468 6f7520
77616e 642772
657374 20696e
206869 732073
686164 652c0a
576865 6e2069
6e2065 746572
6e616c 206c69
6e6573 20746f
205469 6d6520
74686f 752067
726f77 277374
2e0a53 6f206c
6f6e67 206173
206d65 6e2063
616e20 627265
617468 652c20
6f7220 657965
732063 616e20
736565 2c0a53
6f206c 6f6e67
206c69 766573
207468 69732c
20616e 642074
686973 206769
766573 206c69
666520 746f20
746865 652e0a
0 0 
